period,country,year,month,demonstrations_events,civilian_targeting_events,civilian_targeting_fatalities,political_violence_events,political_violence_fatalities,total_events,total_fatalities
2013-11,Kenya,2013,11,18,16,45,23,50,57,95
2013-12,Kenya,2013,12,17,18,63,28,128,63,191
2014-01,Kenya,2014,1,20,14,14,24,30,58,44
2014-02,Kenya,2014,2,18,11,10,15,13,44,23
2014-03,Kenya,2014,3,15,12,19,23,31,50,50
2014-04,Kenya,2014,4,13,11,9,20,15,44,24
2014-05,Kenya,2014,5,2,10,31,17,54,29,85
2014-06,Kenya,2014,6,23,18,84,26,128,67,212
2014-07,Kenya,2014,7,25,16,44,22,68,63,112
2014-08,Kenya,2014,8,17,15,19,22,51,54,70
2014-09,Kenya,2014,9,30,11,17,15,19,56,36
2014-10,Kenya,2014,10,24,12,6,21,31,57,37
2014-11,Kenya,2014,11,19,11,37,21,91,51,128
2014-12,Kenya,2014,12,8,14,65,23,78,45,143
2015-01,Kenya,2015,1,28,7,9,12,23,47,32
2015-02,Kenya,2015,2,24,10,7,16,12,50,19
2015-03,Kenya,2015,3,21,18,27,21,32,60,59
2015-04,Kenya,2015,4,18,10,156,13,162,41,318
2015-05,Kenya,2015,5,10,5,36,11,96,26,132
2015-06,Kenya,2015,6,14,7,34,11,58,32,92
2015-07,Kenya,2015,7,10,8,25,13,33,31,58
2015-08,Kenya,2015,8,5,4,7,11,26,20,33
2015-09,Kenya,2015,9,16,2,1,2,1,20,2
2015-10,Kenya,2015,10,13,7,4,10,6,30,10
2015-11,Kenya,2015,11,11,3,4,7,5,21,9
2015-12,Kenya,2015,12,6,6,11,20,46,32,57
2016-01,Kenya,2016,1,3,3,4,7,17,13,21
2016-02,Kenya,2016,2,5,2,4,6,10,13,14
2016-03,Kenya,2016,3,8,4,2,6,2,18,4
2016-04,Kenya,2016,4,10,1,1,2,1,13,2
2016-05,Kenya,2016,5,17,6,10,8,14,31,24
2016-06,Kenya,2016,6,19,10,12,18,40,47,52
2016-07,Kenya,2016,7,7,6,10,17,37,30,47
2016-08,Kenya,2016,8,10,7,5,17,12,34,17
2016-09,Kenya,2016,9,23,3,3,11,22,37,25
2016-10,Kenya,2016,10,21,10,23,14,25,45,48
2016-11,Kenya,2016,11,18,4,1,13,16,35,17
2016-12,Kenya,2016,12,10,11,13,20,25,41,38
2017-01,Kenya,2017,1,11,9,14,16,23,36,37
2017-02,Kenya,2017,2,15,15,21,26,38,56,59
2017-03,Kenya,2017,3,18,21,41,40,71,79,112
2017-04,Kenya,2017,4,52,33,29,64,57,149,86
2017-05,Kenya,2017,5,52,30,27,51,86,133,113
2017-06,Kenya,2017,6,25,21,30,38,63,84,93
2017-07,Kenya,2017,7,23,27,55,46,91,96,146
2017-08,Kenya,2017,8,65,39,42,74,82,178,124
2017-09,Kenya,2017,9,35,15,24,21,35,71,59
2017-10,Kenya,2017,10,117,47,21,74,46,238,67
2017-11,Kenya,2017,11,31,11,34,24,66,66,100
2017-12,Kenya,2017,12,4,5,13,9,20,18,33
2018-01,Kenya,2018,1,25,15,26,28,47,68,73
2018-02,Kenya,2018,2,28,16,18,29,40,73,58
2018-03,Kenya,2018,3,19,7,19,10,26,36,45
2018-04,Kenya,2018,4,20,14,16,22,22,56,38
2018-05,Kenya,2018,5,18,13,24,26,31,57,55
2018-06,Kenya,2018,6,24,17,5,26,20,67,25
2018-07,Kenya,2018,7,19,15,12,35,19,69,31
2018-08,Kenya,2018,8,20,16,12,24,28,60,40
2018-09,Kenya,2018,9,28,40,53,68,106,136,159
2018-10,Kenya,2018,10,21,14,13,29,44,64,57
2018-11,Kenya,2018,11,15,25,18,44,38,84,56
2018-12,Kenya,2018,12,10,17,12,30,26,57,38
2019-01,Kenya,2019,1,17,25,37,27,38,69,75
2019-02,Kenya,2019,2,10,9,13,16,22,35,35
2019-03,Kenya,2019,3,24,10,5,16,17,50,22
2019-04,Kenya,2019,4,11,15,16,22,22,48,38
2019-05,Kenya,2019,5,22,11,19,17,27,50,46
2019-06,Kenya,2019,6,10,12,7,18,26,40,33
2019-07,Kenya,2019,7,17,9,6,13,10,39,16
2019-08,Kenya,2019,8,13,8,13,11,16,32,29
2019-09,Kenya,2019,9,28,20,26,30,41,78,67
2019-10,Kenya,2019,10,33,17,19,27,36,77,55
2019-11,Kenya,2019,11,15,18,21,23,31,56,52
2019-12,Kenya,2019,12,16,23,28,38,52,77,80
2020-01,Kenya,2020,1,36,19,10,30,35,85,45
2020-02,Kenya,2020,2,11,16,17,24,26,51,43
2020-03,Kenya,2020,3,18,26,20,34,44,78,64
2020-04,Kenya,2020,4,12,21,12,35,33,68,45
2020-05,Kenya,2020,5,25,21,18,36,39,82,57
2020-06,Kenya,2020,6,16,15,17,22,31,53,48
2020-07,Kenya,2020,7,21,19,18,31,23,71,41
2020-08,Kenya,2020,8,37,13,12,20,14,70,26
2020-09,Kenya,2020,9,26,11,13,19,40,56,53
2020-10,Kenya,2020,10,18,15,8,23,13,56,21
2020-11,Kenya,2020,11,18,15,17,27,30,60,47
2020-12,Kenya,2020,12,17,11,7,18,20,46,27
2021-01,Kenya,2021,1,26,12,15,38,51,76,66
2021-02,Kenya,2021,2,17,3,1,10,3,30,4
2021-03,Kenya,2021,3,10,11,13,15,13,36,26
2021-04,Kenya,2021,4,6,7,7,11,13,24,20
2021-05,Kenya,2021,5,17,18,12,31,38,66,50
2021-06,Kenya,2021,6,16,18,22,32,66,66,88
2021-07,Kenya,2021,7,22,26,49,37,69,85,118
2021-08,Kenya,2021,8,28,21,16,29,20,78,36
2021-09,Kenya,2021,9,32,34,24,45,30,111,54
2021-10,Kenya,2021,10,25,29,40,43,63,97,103
2021-11,Kenya,2021,11,24,29,26,44,61,97,87
2021-12,Kenya,2021,12,18,33,23,53,54,104,77
2022-01,Kenya,2022,1,37,40,45,68,103,145,148
2022-02,Kenya,2022,2,32,53,53,79,87,164,140
2022-03,Kenya,2022,3,58,69,69,99,92,226,161
2022-04,Kenya,2022,4,124,52,36,80,39,256,75
2022-05,Kenya,2022,5,75,49,24,67,31,191,55
2022-06,Kenya,2022,6,69,48,29,86,48,203,77
2022-07,Kenya,2022,7,52,66,24,104,44,222,68
2022-08,Kenya,2022,8,62,78,24,108,33,248,57
2022-09,Kenya,2022,9,39,44,24,54,47,137,71
2022-10,Kenya,2022,10,59,52,35,75,41,186,76
2022-11,Kenya,2022,11,36,78,54,101,57,215,111
2022-12,Kenya,2022,12,30,53,40,72,61,155,101
2023-01,Kenya,2023,1,50,69,60,92,96,211,156
2023-02,Kenya,2023,2,83,52,45,91,113,226,158
2023-03,Kenya,2023,3,161,73,63,103,78,337,141
2023-04,Kenya,2023,4,62,61,44,92,53,215,97
2023-05,Kenya,2023,5,106,70,50,93,65,269,115
2023-06,Kenya,2023,6,75,74,46,112,88,261,134
2023-07,Kenya,2023,7,213,60,48,86,89,359,137
2023-08,Kenya,2023,8,62,61,40,90,118,213,158
2023-09,Kenya,2023,9,77,74,56,107,107,258,163
2023-10,Kenya,2023,10,108,52,29,88,49,248,78
